title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale
River City Super Sports Challenge    ,DS,0.03,0.01,N/A,0.02,0.00
Flipper Critters    ,DS,0.03,0.03,0.00,N/A,0.00
Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai    ,3DS,0.03,N/A,N/A,0.03,N/A
Togainu no Chi: True Blood    ,PS2,0.03,N/A,N/A,0.03,N/A
Tork: Prehistoric Punk    ,XB,0.03,0.02,0.01,N/A,0.00
Call of Juarez: Bound in Blood    ,PC,0.03,N/A,0.03,N/A,0.00
Chicken Shoot 2    ,GBA,0.03,0.02,0.01,N/A,0.00
Shin Hayarigami 2    ,PSV,0.03,N/A,N/A,0.03,N/A
Prince of Persia: The Forgotten Sands    ,PC,0.03,N/A,0.03,N/A,0.00
Summer Athletics 2009    ,X360,0.03,N/A,0.03,N/A,0.00
Apache: Air Assault    ,PC,0.03,N/A,0.03,N/A,0.00
Underground Pool    ,DS,0.03,0.03,N/A,N/A,0.00
Infinite Stratos 2: Ignition Hearts    ,PSV,0.03,N/A,N/A,0.03,N/A
Pachinko Kamen Rider: Shocker Zenmetsu Daisakusen    ,PS2,0.03,N/A,N/A,0.03,N/A
Accel World: Ginyoku no Kakusei    ,PSP,0.03,N/A,N/A,0.03,N/A
Classic Dungeon: Fuyoku no Masoujin    ,PSP,0.03,N/A,N/A,0.03,N/A
Crazy Machines    ,DS,0.03,N/A,0.03,N/A,0.00
Mystery Case Files: Ravenhearst    ,PC,0.03,0.01,0.02,N/A,0.00
Rampo    ,SAT,0.03,N/A,N/A,0.03,N/A
The Sims 2: Glamour Life Stuff    ,PC,0.03,N/A,0.03,N/A,0.01
Super Heroine Chronicle    ,PS3,0.03,N/A,N/A,0.03,N/A
My Pet Shop (JP sales)    ,DS,0.03,N/A,N/A,0.03,N/A
Toy Shop    ,DS,0.03,0.03,0.00,N/A,0.00
Darkest Dungeon    ,NS,0.03,0.02,0.01,N/A,0.00
Exstetra    ,PSV,0.03,N/A,N/A,0.03,N/A
Kung Fu Panda: Showdown of Legendary Legends    ,X360,0.03,N/A,0.03,N/A,0.00
Dodge Racing: Charger vs Challenger    ,DS,0.03,0.03,N/A,N/A,0.00
Gokujou!! Mecha Mote Iinchou: MM My Best Friend!    ,DS,0.03,N/A,N/A,0.03,N/A
Biker Mice From Mars    ,DS,0.03,0.03,0.00,N/A,0.00
Jig-A-Pix: Wild World    ,DS,0.03,0.03,0.00,N/A,0.00
Winning Post 8 2016    ,PS4,0.03,N/A,N/A,0.03,N/A
IDOLiSH7 Twelve Fantasia!    ,PSV,0.03,N/A,N/A,0.03,N/A
Hiiro no Kakera 2: Hisui no Shizuku    ,PS2,0.03,N/A,N/A,0.03,N/A
Rugby World Cup 2015    ,X360,0.03,N/A,0.03,N/A,0.00
Pro Yakyuu Spirits 5 Kanzenban    ,PS3,0.03,N/A,N/A,0.03,N/A
Blazing Angels: Squadrons of WWII    ,PC,0.03,0.03,0.00,N/A,0.00
Cabela's Big Game Hunter: Pro Hunts    ,PS3,0.03,0.03,N/A,N/A,0.01
Disney Epic Mickey: The Power of Illusion    ,3DS,0.03,0.00,0.03,N/A,N/A
The Legend of Heroes III: Song of the Ocean    ,PSP,0.03,0.03,N/A,N/A,0.00
Top Gun: Hard Lock    ,PS3,0.03,N/A,0.03,N/A,0.01
Utawarerumono: Chiriyukusha e no Komoriuta    ,PS4,0.03,N/A,N/A,0.03,N/A
Dance Factory    ,PS2,0.03,0.02,0.01,N/A,0.00
Totally Spies!    ,GBA,0.03,0.02,0.01,N/A,0.00
DragonHeart: Fire & Steel    ,PS,0.03,0.02,0.01,N/A,0.00
Chaos;Head - Love Chu*Chu!    ,X360,0.03,N/A,N/A,0.03,N/A
Nishijin Pachinko Monogatari 2    ,SNES,0.03,N/A,N/A,0.03,0.00
World of Final Fantasy Maxima    ,XOne,0.03,0.03,N/A,N/A,0.00
RoadKill    ,GC,0.03,0.02,0.01,N/A,0.00
Playmobil Top Agents    ,DS,0.03,N/A,0.03,N/A,0.00
RACE On    ,PC,0.03,N/A,0.03,N/A,0.00
F1 2002    ,GC,0.03,0.02,0.01,N/A,0.00
Mushihimesama Futari Ver 1.5    ,X360,0.03,N/A,N/A,0.03,N/A
thinkSMART FAMILY!    ,Wii,0.03,0.03,N/A,N/A,0.00
MotoGP 15    ,XOne,0.03,N/A,0.03,N/A,0.00
Pocket Fighter    ,SAT,0.03,N/A,N/A,0.03,N/A
Ojyousama Express    ,SAT,0.03,N/A,N/A,0.03,0.00
Rugby Challenge 3    ,PS3,0.03,N/A,0.03,N/A,0.00
Toaru Majutsu to Kagaku no Ensemble    ,PSP,0.03,N/A,N/A,0.03,N/A
Raid: World War II    ,XOne,0.03,0.03,N/A,N/A,0.00
Starsky & Hutch    ,GBA,0.03,0.02,0.01,N/A,0.00
Garfield: A Tale of Two Kitties    ,DS,0.03,0.03,0.00,N/A,0.00
House M.D.    ,DS,0.03,0.02,0.01,N/A,0.00
Sitting Ducks    ,GBA,0.03,0.02,0.01,N/A,0.00
Brothers Conflict: Brilliant Blue    ,PSP,0.03,N/A,N/A,0.03,N/A
"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.    ",PSV,0.03,N/A,N/A,0.03,N/A
Eyeshield 21: Field Saikyou no Senshi Tachi    ,Wii,0.03,N/A,N/A,0.03,N/A
Fullmetal Alchemist: Brotherhood    ,PSP,0.03,N/A,N/A,0.03,N/A
To LoveRu Trouble: Waku Waku! Rinkangakkou-Hen    ,DS,0.03,N/A,N/A,0.03,N/A
Train Sim World    ,XOne,0.03,0.03,N/A,N/A,0.00
Midnight Mysteries: The Edgar Allan Poe Conspiracy    ,PC,0.03,N/A,0.03,N/A,0.00
Last Escort: Club Katze    ,PSP,0.03,N/A,N/A,0.03,N/A
Who Wants to be a Millionaire: 1st Edition    ,Wii,0.03,N/A,0.03,N/A,0.00
Red Faction: Guerrilla    ,PC,0.03,N/A,0.03,N/A,0.00
Stacked with Daniel Negreanu    ,XB,0.03,0.02,0.01,N/A,0.00
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wei-Hen    ,PSP,0.03,N/A,N/A,0.03,N/A
Ultimate Block Party    ,PSP,0.03,0.03,0.00,N/A,0.00
Konami Classics Series: Arcade Hits    ,DS,0.03,0.01,0.00,0.02,0.00
Otometeki Koi Kakumei * Love Revo    ,PS2,0.03,N/A,N/A,0.03,N/A
Power Rangers Super Megaforce     ,3DS,0.03,0.01,0.01,N/A,0.00
New Interpretation Stranger of Sword City    ,PSV,0.03,N/A,N/A,0.03,N/A
Dr. Muto    ,GC,0.03,0.02,0.01,N/A,0.00
Hallowed Legends: Samhain    ,PC,0.03,N/A,0.03,N/A,0.01
Sumikko Gurashi Atsumare Sumikko Town    ,NS,0.03,N/A,N/A,0.03,N/A
Otomedius Gorgeous    ,X360,0.03,N/A,N/A,0.03,N/A
Egg Mania: Eggstreme Madness    ,PS2,0.03,0.02,0.01,N/A,0.00
Guilty Gear XX Accent Core Plus    ,Wii,0.03,0.01,0.02,N/A,0.00
Rabbids Land    ,WiiU,0.03,0.01,0.01,N/A,0.00
Who Wants to be a Millionaire: 1st Edition    ,DS,0.03,N/A,0.03,N/A,0.00
Phantasy Star Online 2: Episode 3 Deluxe Package    ,PSV,0.03,N/A,N/A,0.03,N/A
Rome: Total War - Gold Edition    ,PC,0.03,N/A,0.03,N/A,0.00
Kiniro no Corda 3    ,PS2,0.03,N/A,N/A,0.03,N/A
Nil Admirari no Tenbin: Teito Genwaku Toukidan    ,PSV,0.03,N/A,N/A,0.03,N/A
Zero Escape: Virtue's Last Reward    ,3DS,0.03,0.03,N/A,N/A,0.00
Aegis of Earth: Protonovus Assault    ,PS3,0.03,0.02,0.01,N/A,0.01
Darkstalkers Resurrection    ,PS3,0.03,N/A,N/A,0.03,N/A
Mega Minis Volume 2    ,PSP,0.03,N/A,0.02,N/A,0.01
Highschool Terra Story    ,SAT,0.03,N/A,N/A,0.03,0.00
All-Star Fruit Racing    ,PS4,0.03,0.03,N/A,N/A,0.01
Emergency! Disaster Rescue Squad    ,DS,0.03,0.03,N/A,N/A,0.00
Overlord II    ,PC,0.03,N/A,0.03,N/A,0.00
Summer Athletics: The Ultimate Challenge    ,X360,0.03,0.02,0.01,N/A,0.00
Berserk and the Band of the Hawk    ,PSV,0.03,N/A,N/A,0.03,N/A
Suggoi! Arcana Heart 2    ,PS2,0.03,N/A,N/A,0.03,N/A
Let's Sing 2019    ,PS4,0.03,N/A,0.03,N/A,0.00
Cyber Troopers: Virtual On x Toaru Majutsu no Index: Toaru Majutsu no Dennou Senki    ,PS4,0.03,N/A,N/A,0.03,N/A
Dragon's Dogma Online: Season 2    ,PS4,0.03,N/A,N/A,0.03,N/A
Divinity: Original Sin II    ,XOne,0.03,0.03,N/A,N/A,0.00
Mother Goose no Himitsu no Yakata    ,PSP,0.03,N/A,N/A,0.03,N/A
Super Bomberman R    ,XOne,0.03,0.03,N/A,N/A,0.00
HappinessCharge PreCure! Kawarun Collection    ,3DS,0.03,N/A,N/A,0.03,N/A
Men of War    ,PC,0.03,0.01,0.02,N/A,0.00
Winning Post 7 2009    ,PSP,0.03,N/A,N/A,0.03,N/A
Code Lyoko: Quest for Infinity    ,PSP,0.03,0.03,N/A,N/A,0.00
Puzzle & Action: Tant-R    ,GEN,0.03,N/A,N/A,0.03,N/A
Mega Man X Legacy Collection 1+2    ,NS,0.03,N/A,N/A,0.03,N/A
Digimon World 4    ,XB,0.03,0.02,0.01,N/A,0.00
Nobunaga's Ambition: Sphere of Influence with Power-Up Kit    ,NS,0.03,N/A,N/A,0.03,N/A
Kekkaishi: Kokubourou Shuurai    ,DS,0.03,N/A,N/A,0.03,N/A
Galleon: Islands of Mystery    ,XB,0.03,0.02,0.01,N/A,0.00
Shugo Chara! Amunonijiro Chara Change    ,DS,0.03,N/A,N/A,0.03,N/A
100% Pascal Sensei: Kanpeki Paint Bombers    ,3DS,0.03,N/A,N/A,0.03,N/A
Ren'ai 0 Kilometer    ,PSP,0.03,N/A,N/A,0.03,N/A
Labyrinth of Refrain: Coven of Dusk    ,PS4,0.03,0.01,N/A,0.01,0.00
Omega Labyrinth Z    ,PSV,0.03,N/A,N/A,0.03,N/A
Far East of Eden Shinden    ,NG,0.03,N/A,N/A,0.03,N/A
Sunny Garcia Surfing    ,PS2,0.03,0.02,0.01,N/A,0.00
Tantei Jinguuji Saburo DS: Kienai Kokoro    ,DS,0.03,N/A,N/A,0.03,N/A
MotorHead    ,PS,0.03,0.02,0.01,N/A,0.00
Rugby Union Team Manager 2017    ,PC,0.03,N/A,0.03,N/A,0.00
StormLover    ,PSP,0.03,N/A,N/A,0.03,N/A
Shaun White Skateboarding    ,PC,0.03,N/A,0.03,N/A,0.00
Gensou Suikoden I & II    ,PSP,0.03,N/A,N/A,0.03,N/A
Gloria Union    ,PSP,0.03,N/A,N/A,0.03,N/A
Pro Evolution Soccer 2018    ,X360,0.03,0.02,0.01,N/A,0.00
East India Company Collection    ,PC,0.03,N/A,0.03,N/A,0.00
Fallout: New Vegas Ultimate Edition    ,PC,0.03,N/A,0.03,N/A,0.00
Alter Ego    ,PC,0.03,N/A,0.03,N/A,0.00
Eyeshield 21: DevilBats DevilDays    ,GBA,0.03,N/A,N/A,0.03,0.00
Rugby 15    ,X360,0.03,N/A,0.03,N/A,0.00
Jyuzaengi: Engetsu Sangokuden    ,PSP,0.03,N/A,N/A,0.03,N/A
Nisekoi: Yomeiri!?    ,PSV,0.03,N/A,N/A,0.03,N/A
Super Meat Boy: Ultra Edition!    ,PC,0.03,N/A,0.02,N/A,0.01
Dancing Blade II: Tears of Eden    ,PS,0.03,N/A,N/A,0.03,0.00
Shin Sangoku Musou Online: Kamishou Ranbu    ,PS3,0.03,N/A,N/A,0.03,N/A
Bubble Bobble Evolution    ,PSP,0.03,0.03,0.00,N/A,0.00
Gochuumon wa Usagi Desu ka?? Wonderful Party!    ,PSV,0.03,N/A,N/A,0.03,N/A
Kokoro no Kokoron    ,DS,0.03,N/A,N/A,0.03,N/A
BeatMania IIDX 13: DistorteD    ,PS2,0.03,N/A,N/A,0.03,N/A
Hiiro no Kakera 3: Aoikuro no Kusabi    ,PS2,0.03,N/A,N/A,0.03,N/A
Super Dungeon Bros    ,PS4,0.03,0.02,N/A,N/A,0.01
Override: Mech City Brawl    ,PS4,0.03,0.02,N/A,N/A,0.01
Puyo Puyo Chronicle    ,3DS,0.03,N/A,N/A,0.03,N/A
Guitar Hero: World Tour    ,PC,0.03,N/A,0.03,N/A,0.00
Go! Go! Hypergrind    ,GC,0.03,0.02,0.01,N/A,0.00
Keshisasu-Kun: Battle Kas-tival    ,DS,0.03,N/A,N/A,0.03,N/A
Kaidan Restaurant: Zoku! Shin Menu 100-Sen    ,DS,0.03,N/A,N/A,0.03,N/A
Blade Arcus from Shining EX    ,PS4,0.03,N/A,N/A,0.03,N/A
Peak Performance    ,PS,0.03,0.02,0.01,N/A,0.00
Young Justice: Legacy    ,3DS,0.03,0.03,N/A,N/A,0.00
DokiDoki Majo Shinpan! 2    ,DS,0.03,N/A,N/A,0.03,N/A
Kyokugen Dasshutsu ADV: Zennin Shiboudesu    ,3DS,0.03,N/A,N/A,0.03,N/A
Handball 16    ,PS3,0.03,N/A,0.03,N/A,0.00
Nacho Libre    ,DS,0.03,0.03,0.00,N/A,0.00
S.L.A.I.: Steel Lancer Arena International    ,PS2,0.03,0.01,0.01,N/A,0.00
Freaky Flyers    ,XB,0.03,0.02,0.01,N/A,0.00
Boulder Dash: Rocks!    ,DS,0.03,N/A,0.03,N/A,0.00
N+    ,PSP,0.03,0.03,N/A,N/A,0.00
Don't Knock Twice    ,PS4,0.03,0.02,N/A,N/A,0.01
Zoboomafoo: Leapin' Lemurs!    ,PS,0.03,0.02,0.01,N/A,0.00
Azada    ,3DS,0.03,N/A,0.03,N/A,0.00
Dennou Senki Virtual-On Force    ,X360,0.03,N/A,N/A,0.03,N/A
Troll and I    ,PS4,0.03,0.02,N/A,N/A,0.01
Beast Quest    ,PS4,0.03,0.02,N/A,N/A,0.01
Graffiti Kingdom    ,PS2,0.03,0.01,0.01,N/A,0.00
Nettou! Powerful Koushien    ,DS,0.03,N/A,N/A,0.03,N/A
Kamen Rider: Climax Fighters    ,PS4,0.03,N/A,N/A,0.03,N/A
Armored Core SL: Silent Line Portable    ,PSP,0.03,N/A,N/A,0.03,N/A
Away: Shuffle Dungeon    ,DS,0.03,0.02,N/A,0.00,0.00
Combat Mission: Shock Force    ,PC,0.03,N/A,0.03,N/A,0.00
Ratatouille    ,PC,0.03,0.01,0.01,N/A,0.00
Combat Elite: WWII Paratroopers    ,XB,0.03,0.02,0.01,N/A,0.00
To LoveRu Trouble: Doki Doki! Rinkaigakkou-Hen    ,PSP,0.03,N/A,N/A,0.03,N/A
Lethal Enforcers I & II    ,PS,0.03,0.02,0.01,N/A,0.00
Teddy Together    ,3DS,0.03,N/A,0.03,N/A,0.00
Carmageddon: Max Damage    ,XOne,0.03,0.02,0.01,N/A,0.00
Code: Realize - Bouquet of Rainbows    ,PS4,0.03,0.02,N/A,N/A,0.01
Klonoa 2: Dream Champ Tournament    ,GBA,0.03,0.02,0.01,N/A,0.00
Putty Squad    ,PSV,0.03,0.01,0.01,N/A,0.01
Adventure Time: Pirates of the Enchiridion     ,NS,0.03,0.01,0.02,N/A,0.00
Minna no Golf Jou Vol.1     ,PSP,0.03,N/A,N/A,0.03,N/A
Harry Potter and the Half-Blood Prince    ,PC,0.03,N/A,0.03,N/A,0.00
Utawarerumono Zan    ,PS4,0.03,N/A,N/A,0.03,N/A
Ducati World Racing Challenge    ,PS,0.03,0.02,0.01,N/A,0.00
Super Collapse! II    ,GBA,0.03,0.02,0.01,N/A,0.00
Golden Nugget Casino / Texas Hold 'Em Double Pack    ,GBA,0.03,0.02,0.01,N/A,0.00
Pop'n Music 14 Fever!    ,PS2,0.03,N/A,N/A,0.03,N/A
Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito    ,PSP,0.03,N/A,N/A,0.03,N/A
Lux-Pain (JP sales)    ,DS,0.03,N/A,N/A,0.03,N/A
Smashing Drive    ,GBA,0.03,0.02,0.01,N/A,0.00
Big Mountain 2000    ,N64,0.03,0.02,0.01,N/A,0.00
Charlie Blasts Territory    ,N64,0.03,0.02,0.01,N/A,0.00
Senko no Ronde DUO    ,X360,0.03,N/A,N/A,0.03,N/A
Starshot: Space Circus Fever    ,N64,0.03,0.02,0.01,N/A,0.00
CIMA: The Enemy    ,GBA,0.03,0.02,0.01,N/A,0.00
Heathcliff! The Fast and the Furriest    ,Wii,0.03,0.03,N/A,N/A,0.00
Tokimeki Memorial Girl's Side 1st Love Plus    ,DS,0.03,N/A,N/A,0.03,N/A
Katekyoo Hitman Reborn! Kizuna no Tag Battle    ,PSP,0.03,N/A,N/A,0.03,N/A
Code Geass: Hangyaku no Lelouch    ,DS,0.03,N/A,N/A,0.03,N/A
Boot Camp Academy    ,Wii,0.03,0.03,N/A,N/A,0.00
Daibakushou: Jinsei Gekijou    ,SNES,0.03,N/A,N/A,0.03,N/A
Hudson x GReeeeN Live!? DeeeeS!?    ,DS,0.03,N/A,N/A,0.03,N/A
Kamen Rider: Climax Scramble Zi-O    ,NS,0.03,N/A,N/A,0.03,N/A
Eiyuu Densetsu: Sora no Kiseki Set    ,PSP,0.03,N/A,N/A,0.03,N/A
Marble Madness / Klax    ,GBA,0.03,0.02,0.01,N/A,0.00
Story Hour: Adventures    ,Wii,0.03,0.03,N/A,N/A,0.00
Downstream Panic!    ,PSP,0.03,0.03,N/A,N/A,0.00
DJ Max Portable 3    ,PSP,0.03,0.01,N/A,0.02,0.00
Suzumiya Haruhi no Chokuretsu    ,DS,0.03,N/A,N/A,0.03,N/A
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings    ,NS,0.03,0.02,N/A,0.01,0.00
The IdolM@ster: Gravure For You! Vol. 5    ,PS3,0.03,N/A,N/A,0.03,N/A
Rayman 3: Hoodlum Havoc    ,PC,0.03,N/A,0.03,N/A,0.00
S.Y.K Renshouden    ,PS2,0.03,N/A,N/A,0.03,N/A
Blokus Portable: Steambot Championship    ,PSP,0.03,0.03,0.00,N/A,0.00
Blade Arcus from Shining EX    ,PS3,0.03,N/A,N/A,0.03,N/A
Record of Grancrest War    ,PS4,0.03,N/A,N/A,0.03,N/A
Winter Sports 3: The Great Tournament    ,PS3,0.03,N/A,0.03,N/A,0.00
Hiiro no Kakera: Shin Tamayori Hime Denshou - Piece of Future    ,PSP,0.03,N/A,N/A,0.03,N/A
Legends of Chima: Laval's Journey    ,DS,0.03,N/A,0.03,N/A,0.00
D.C.I.F.: Da Capo Innocent Finale    ,PS2,0.03,N/A,N/A,0.03,N/A
Galaxy Angel II: Mugen Kairou no Kagi    ,PS2,0.03,N/A,N/A,0.03,N/A
Konpeki no Kantai    ,SNES,0.03,N/A,N/A,0.03,N/A
Nectaris: Military Madness    ,PS,0.03,0.02,0.01,N/A,0.00
Pet Alien: An Intergalactic Puzzlepalooza    ,DS,0.03,0.03,0.00,N/A,0.00
THE iDOLM@STER: Stella Stage    ,PS4,0.03,N/A,N/A,0.03,N/A
Hot Pixel    ,PSP,0.03,0.03,0.00,N/A,0.00
Dragon Quest X: 5000-nen no Harukanaru Kokyou e Online    ,WiiU,0.03,N/A,N/A,0.03,N/A
BRAHMA Force: The Assault on Beltlogger 9    ,PS,0.03,0.02,0.01,N/A,0.00
Lock On: Modern Air Combat    ,PC,0.03,N/A,0.03,N/A,0.00
Tenka-bito    ,PS2,0.03,N/A,N/A,0.03,N/A
INSIDE / LIMBO Double Pack    ,XOne,0.03,0.03,N/A,N/A,0.00
Katekyoo Hitman Reborn! DS: Ore ga Boss! Saikyou Family Taisen    ,DS,0.03,N/A,N/A,0.03,N/A
Robo Pit    ,PS,0.03,0.02,0.01,N/A,0.00
Samurai Spirits: Tenkaichi Kenkakuden    ,PS2,0.03,N/A,N/A,0.03,N/A
Muv-Luv Alternative: Total Eclipse    ,PS3,0.03,N/A,N/A,0.03,N/A
Star Wars: The Force Unleashed II    ,PC,0.03,0.03,N/A,N/A,0.00
R-Type III: The Third Lightning    ,GBA,0.03,0.02,0.01,N/A,0.00
Sukitomo. Tsukiuta. 12 Memories    ,PSV,0.03,N/A,N/A,0.03,N/A
Take On Helicopters    ,PC,0.03,N/A,0.03,N/A,0.00
The Inner World    ,PC,0.03,N/A,0.03,N/A,0.00
The Pillars of the Earth    ,PS4,0.03,0.02,N/A,N/A,0.01
Hakuouki    ,PS2,0.03,N/A,N/A,0.03,N/A
Atomic Betty     ,GBA,0.03,0.02,0.01,N/A,0.00
"Princess Natasha: Student, Secret Agent, Princess    ",DS,0.03,0.03,N/A,N/A,0.00
Monster Hunter Frontier Online: Season 10    ,X360,0.03,N/A,N/A,0.03,N/A
Robin Hood: Defender of the Crown    ,XB,0.03,0.02,0.01,N/A,0.00
Armored Core: Last Raven Portable    ,PSP,0.03,N/A,N/A,0.03,N/A
Master of Monsters: Disciples of Gaia    ,PS,0.03,0.02,0.01,N/A,0.00
Neverwinter Nights    ,PC,0.03,N/A,0.03,N/A,0.00
Street Jam Basketball    ,GBA,0.03,0.02,0.01,N/A,0.00
SD Gundam: Gashapon Wars    ,Wii,0.03,N/A,N/A,0.03,N/A
Curious George    ,XB,0.03,0.02,0.01,N/A,0.00
The Lost Child    ,PS4,0.03,0.01,N/A,0.01,0.00
Disney's Aladdin    ,GBA,0.03,0.02,0.01,N/A,0.00
Virtual Pool: Tournament Edition    ,XB,0.03,0.02,0.01,N/A,0.00
Winning Post 8 2015    ,PSV,0.03,N/A,N/A,0.03,N/A
Nippon no Asoko de    ,PSP,0.03,N/A,N/A,0.03,N/A
Taishou Moebius Line Vitable    ,PSV,0.03,N/A,N/A,0.03,N/A
MapleStory DS    ,DS,0.03,N/A,N/A,0.03,N/A
Romance of the Three Kingdoms 13 with Power-Up Kit    ,PS4,0.03,N/A,N/A,0.03,N/A
Pimp My Ride: Street Racing    ,DS,0.03,0.03,N/A,N/A,0.00
Culdcept    ,PS2,0.03,0.01,0.01,N/A,0.00
Homeworld 2    ,PC,0.03,N/A,0.03,N/A,0.00
Popeye: Rush for Spinach    ,GBA,0.03,0.02,0.01,N/A,0.00
Blue Breaker: Ken Yorimo Hohoemi o    ,PCFX,0.03,N/A,N/A,0.03,N/A
Codename: Panzers Cold War    ,PC,0.03,N/A,0.03,N/A,0.00
BeatMania IIDX 15: DJ Troopers    ,PS2,0.03,N/A,N/A,0.03,N/A
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6    ,PS3,0.03,N/A,N/A,0.03,N/A
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa    ,PSP,0.03,N/A,N/A,0.03,N/A
Planet of the Apes    ,GBA,0.03,0.02,0.01,N/A,0.00
Drake & Josh: Talent Showdown    ,DS,0.03,0.03,N/A,N/A,0.00
Hissatsu Pachinko Collection 3    ,SNES,0.03,N/A,N/A,0.03,0.00
Real World Golf    ,XB,0.03,0.02,0.01,N/A,0.00
Oumagatoki: Kaidan Romance    ,PSP,0.03,N/A,N/A,0.03,N/A
Mahjong Kakutou Club: Zenkoku Taisenban    ,PS3,0.03,N/A,N/A,0.03,N/A
NBA 08    ,PSP,0.03,0.03,N/A,N/A,0.00
Triple Pack: Xbox Live Arcade Compilation    ,X360,0.03,0.03,N/A,N/A,0.00
Hayate no Gotoku! Nightmare Paradise    ,PSP,0.03,N/A,N/A,0.03,N/A
Lords of the Fallen    ,PC,0.03,N/A,0.03,N/A,0.00
Empire Earth II    ,PC,0.03,N/A,0.03,N/A,0.00
Forza Motorsport 4: December IGN Pack    ,XBL,0.03,0.01,0.02,N/A,0.00
Knights of Honor    ,PC,0.03,N/A,0.03,N/A,0.00
Koihime Enbu    ,PS4,0.03,N/A,N/A,0.03,N/A
NBA 2K13    ,PC,0.03,0.00,0.02,N/A,0.00
Shinsei Batteki Drive Girls    ,PSV,0.03,0.01,0.00,0.01,0.00
Nanashi no Game Me    ,DS,0.03,N/A,N/A,0.03,N/A
Road Rage    ,PS4,0.03,0.02,N/A,N/A,0.01
Star Trek: The Game    ,PC,0.03,0.00,0.02,N/A,0.00
The Walking Dead: A Telltale Games Series    ,PC,0.03,N/A,0.03,N/A,0.00
Senjou no Waltz    ,PSV,0.03,N/A,N/A,0.03,N/A
DICE: DNA Integrated Cybernetic Enterprises    ,PS2,0.03,0.01,0.01,N/A,0.00
MX vs. ATV Supercross    ,PS3,0.03,0.02,0.01,N/A,0.01
Megpoid the Music#    ,PSP,0.03,N/A,N/A,0.03,N/A
Treasure Gaust: Gaust Diver Crimson Red / Deep Purple    ,DS,0.03,N/A,N/A,0.03,N/A
The Croods: Prehistoric Party!    ,WiiU,0.03,0.01,0.02,N/A,0.00
Dragon Quest X: All in One Package Ver.1-4     ,NS,0.03,N/A,N/A,0.03,N/A
Wallace & Gromit in Project Zoo    ,XB,0.03,0.02,0.01,N/A,0.00
Grid Runner    ,PS,0.03,0.02,0.01,N/A,0.00
Metal Dungeon    ,XB,0.03,0.02,0.01,N/A,0.00
Saihai no Yukue    ,DS,0.03,N/A,N/A,0.03,N/A
Drome Racers    ,GC,0.03,0.02,0.01,N/A,0.00
Guitar Freaks V & DrumMania V    ,PS2,0.03,N/A,N/A,0.03,N/A
Tago Akira no Atama no Taisou Dai-1-Shuu: Nazotoki Sekai Isshuu Ryokou    ,DS,0.03,N/A,N/A,0.03,N/A
Penny-Punching Princess    ,NS,0.03,0.03,N/A,N/A,0.00
Gekido Advance: Kintaro's Revenge    ,GBA,0.03,0.02,0.01,N/A,0.00
Winning Post 8 2017    ,PS4,0.03,N/A,N/A,0.03,N/A
Samurai Warriors: Sanada Maru    ,PSV,0.03,N/A,N/A,0.03,N/A
Future Tactics: The Uprising    ,XB,0.03,0.02,0.01,N/A,0.00
Dream Pinball 3D    ,DS,0.03,0.03,0.00,N/A,0.00
Power Poke Dash    ,GBA,0.03,N/A,N/A,0.03,0.00
Detective Opera: Milky Holmes 2    ,PSP,0.03,N/A,N/A,0.03,N/A
GTR Evolution    ,PC,0.03,N/A,0.02,N/A,0.00
Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 4: Shinseiki Evangelion - Saigo no Mono    ,DS,0.03,N/A,N/A,0.03,N/A
Castlevania: Lords of Shadow - Reverie    ,PSN,0.03,0.02,0.00,N/A,0.00
Blaze Union: Story to Reach the Future    ,PSP,0.03,N/A,N/A,0.03,N/A
Let's Sing 2018    ,NS,0.03,N/A,0.03,N/A,0.00
Race Driver 2006    ,PSP,0.03,0.03,N/A,N/A,0.00
Higurashi no Naku Koro ni Kizuna: Dai-Yon-Kan - Kizuna    ,DS,0.03,N/A,N/A,0.03,N/A
Buffy the Vampire Slayer: Wrath of the Darkhul King    ,GBA,0.03,0.02,0.01,N/A,0.00
The Great Mystery Hidden Object Package 5    ,PC,0.03,N/A,0.03,N/A,0.00
Diabolik Lovers: Vandead Carnival    ,PSV,0.03,N/A,N/A,0.03,N/A
Merv Griffin's Crosswords    ,DS,0.03,0.03,N/A,N/A,0.00
Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa    ,PS3,0.03,N/A,N/A,0.03,N/A
Net High    ,PSV,0.03,N/A,N/A,0.03,N/A
Yomawari: Midnight Shadows    ,PSV,0.03,N/A,0.00,0.03,0.00
Roadsters    ,PS,0.03,0.02,0.01,N/A,0.00
World of Zoo    ,PC,0.03,N/A,0.02,N/A,0.01
DeathSmiles II X    ,X360,0.03,N/A,N/A,0.03,N/A
